수도권여부,연도,주택유형,점유형태,보유주택,주택나이,주택면적,만족도,이사계획,내집보유에대한생각,공공임대주택입주의향,가구주출생연도,총가구원수,월평균가구소득,생활비,주거관리비부담정도,총자산,총부채,최종학력,최종가중치,주거지원프로그램1,주거지원프로그램2
1,1980,2,2,2,8,49.5,3,2,1,1,1929,4,180,100,2,6500,0,1,180.5080464,2,3
1,2017,2,3,2,7,56.1,3,2,1,1,1933,1,70,70,1,9000,0,2,397.739979,6,5
1,1993,2,1,2,8,39.6,3,2,1,2,1935,5,60,60,2,40000,0,1,315.2417367,4,3
1,1994,6,1,2,8,49.5,3,2,1,1,1931,6,248,230,2,23000,0,1,252.5799153,6,5
1,2018,6,3,2,7,9999999,3,2,2,1,1927,3,120,120,2,13000,13000,1,245.9461733,2,10
1,2001,4,1,1,5,59.4,3,2,1,2,1936,2,120,160,2,85000,0,1,426.9304856,2,6
1,2017,6,3,2,6,46.2,3,2,1,2,1937,1,55,50,1,500,0,1,321.0374582,2,1
1,2019,6,3,2,8,52.8,3,2,1,1,1937,1,180,80,3,1000,0,1,308.4171004,6,7
1,2020,2,2,2,8,39.6,3,1,1,2,1934,2,100,100,2,14000,0,2,227.1771007,2,3
1,2010,2,3,2,8,29.7,3,2,1,1,1933,1,80,60,2,2000,0,3,305.3366234,2,3
1,2000,1,1,2,8,59.4,2,2,1,2,1940,1,30,80,3,9999999,0,2,165.8090575,4,6
1,2003,6,1,2,5,59.4,2,2,1,1,1939,4,280,250,3,21500,0,2,262.8987717,6,5
1,2006,6,1,2,5,42.9,3,2,1,1,1938,2,89,100,3,9999999,0,2,300.7903219,3,6
1,2015,2,3,2,6,49.5,3,2,1,1,1941,2,70,150,2,7000,0,2,328.8594356,6,5
1,1997,4,7,2,7,79.2,3,2,1,1,1936,4,9999999,200,2,0,0,1,510.3972073,6,10
1,2002,6,1,2,5,89.1,4,3,1,2,1939,2,170,100,1,68000,0,3,300.7903219,4,3
1,2014,2,2,2,7,75.9,3,2,1,1,1938,3,530,250,1,18000,0,5,273.8830306,6,5
1,2014,2,3,2,8,49.5,3,2,1,1,1936,2,250,150,2,1000,0,2,252.4584777,6,5
1,2013,6,3,2,8,9999999,3,2,2,1,1944,1,72,72,1,6500,6200,2,321.0171195,1,5
1,2014,4,2,1,3,50.8,4,2,1,1,1942,1,105,100,1,9999999,2000,3,423.1471334,7,6
1,2000,4,1,2,5,105.6,3,2,1,1,1933,3,150,150,2,62000,0,4,382.8618419,2,4
1,2002,4,1,2,5,105.6,4,3,1,1,1937,1,65,65,2,54000,0,4,516.3522891,5,6
1,2002,6,1,2,7,42.9,3,2,1,1,1938,2,100,85,2,16200,0,2,300.7903219,3,7
1,2009,6,1,2,5,52.8,3,2,1,2,1939,3,274,140,2,28000,2000,1,269.7421256,3,2
1,2018,4,2,2,4,105.6,3,2,2,1,1941,5,540,300,3,27000,0,3,233.8369386,3,7
1,2004,4,2,2,7,59.4,3,2,2,2,1936,1,60,55,3,5000,0,1,423.1471334,1,4
1,2013,6,2,2,7,33.3,2,1,2,2,1943,2,72,70,1,4700,0,1,246.4955906,2,8
1,2014,2,7,2,6,49.5,3,2,2,1,1943,2,130,100,3,1000,0,2,404.7507129,5,7
1,2017,6,7,2,7,39.6,3,2,1,1,1939,1,150,30,3,30000,0,3,395.5725072,6,7
1,2019,3,1,2,8,59.4,2,2,1,1,1945,2,60,50,2,27500,0,2,286.0978298,1,2
1,1990,1,4,2,8,56.1,2,2,1,1,1940,6,197,197,1,6000,0,1,459.6897508,2,1
1,1994,4,2,2,7,59.4,3,2,1,1,1938,2,70,70,4,4200,0,1,349.8665833,8,1
1,1995,4,3,2,6,42.9,3,2,1,1,1941,1,50,50,2,300,0,3,440.529369,1,2
1,2010,5,1,2,7,82.5,4,2,1,2,1941,3,500,300,3,40000,0,4,121.3922626,4,3
1,2015,6,1,2,2,26.4,3,2,1,1,1939,1,50,50,3,20000,0,1,279.6102199,7,5
1,2017,2,3,2,7,33,3,2,1,1,1942,1,60,60,2,6500,0,2,397.739979,5,7
1,2018,2,3,2,9,39.6,3,2,1,1,1944,2,29,29,1,5000,0,1,328.8594356,1,2
1,2019,10,3,2,9,6.6,2,1,1,1,1938,1,80,80,1,300,0,1,49.57692417,1,6
1,1980,6,1,1,8,59.4,3,2,1,2,1941,2,180,180,4,50000,0,2,300.7903219,2,7
1,2002,2,3,2,8,56.1,2,2,2,2,1939,3,375,200,2,1000,0,1,294.9138876,5,6
1,2005,6,1,2,5,47.9,2,2,1,2,1938,3,310,200,2,9999999,1000,2,269.7421256,3,4
1,2012,4,2,2,3,46.2,3,2,1,1,1939,2,103,90,3,6300,0,3,349.8665833,5,6
1,2017,5,1,2,3,33,3,2,1,1,1948,1,210,150,2,10000,4000,3,213.2629324,7,6
1,2018,2,3,2,8,56.1,2,3,1,1,1939,2,360,300,2,1000,0,3,298.9631233,1,2
1,1998,5,1,2,8,46.2,1,2,1,2,1945,2,90,70,2,30000,0,2,195.9223258,4,3
1,2013,6,1,2,3,66,3,2,1,2,1940,1,100,100,2,38000,20000,1,363.7917096,4,3
1,2014,2,1,2,3,75.9,3,2,1,2,1940,2,250,160,2,82900,10000,2,360.6774686,3,4
1,2017,2,2,2,7,49.5,3,2,1,1,1933,1,30,20,2,10000,0,1,357.4812342,6,5
1,2017,9,4,2,8,5,3,2,1,1,1954,1,80,30,1,0,0,1,369.3400858,1,2
1,2018,2,3,2,8,33,3,2,2,1,1943,1,48,48,2,5000,0,2,305.3366234,2,3
1,2020,2,2,2,6,49.5,3,1,1,1,1949,4,90,150,3,17500,0,1,198.558851,2,3
1,1990,1,1,2,8,59.4,3,2,1,2,1943,3,248,200,3,35000,0,2,159.8260552,4,8
1,1991,2,1,2,7,66,3,2,1,2,1942,3,420,250,2,62000,0,2,323.4475977,3,4
1,1995,4,1,2,6,89.1,3,2,1,2,1941,2,320,260,2,75000,0,2,426.9304856,3,4
1,2007,4,2,2,6,33,3,2,1,1,1941,1,200,120,3,5000,0,3,409.1144016,6,10
1,2015,4,1,2,2,108.9,3,2,1,2,1942,2,300,260,2,99500,0,3,426.9304856,3,4
1,2016,2,2,2,6,33,3,2,1,1,1952,1,180,100,1,5000,0,1,489.423445,6,5
1,2020,4,1,2,5,105.6,3,2,1,2,1942,2,320,250,2,68500,0,2,426.9304856,3,4
1,2020,9,4,2,8,6.6,1,1,1,1,1944,1,80,80,3,0,0,1,278.7473988,1,2
1,1988,2,1,2,8,79.2,2,2,1,2,1941,2,125,80,2,9999999,10000,1,360.6774686,4,8
1,1990,1,1,2,8,66,3,2,1,2,1942,2,130,130,2,50000,0,2,136.981812,6,7
1,1992,2,1,2,7,66,3,2,1,2,1944,2,320,230,2,85000,0,2,360.6774686,3,4
1,1994,2,1,2,7,59.4,3,2,1,2,1940,2,170,150,2,53200,0,2,360.6774686,3,4
1,2000,5,1,2,5,105.6,4,2,1,1,1942,3,320,200,3,40000,0,3,121.3922626,3,7
1,2002,2,1,2,8,56.1,3,2,1,2,1933,2,260,200,2,41200,0,1,360.6774686,4,3
1,2004,3,2,2,7,62.7,3,2,1,1,1943,3,470,200,1,21000,0,2,273.8830306,2,3
1,2005,4,1,2,4,105.6,4,2,1,2,1946,2,250,170,3,56000,0,3,326.4698815,3,2
1,2010,3,2,2,3,9.9,3,2,1,2,1947,2,60,130,1,7000,0,2,305.4078586,3,8
1,2010,6,2,2,3,33,3,2,1,1,1941,1,90,90,2,8000,0,2,229.1386434,2,6
1,2010,6,1,2,8,66,3,3,1,2,1944,2,100,100,2,18000,5000,2,310.7991032,3,6
1,2014,4,3,2,4,39.6,3,2,1,1,1956,1,100,80,3,2300,1100,1,461.6608843,5,6
1,2015,2,3,2,8,46.2,3,2,2,1,1941,4,600,200,1,7500,0,2,287.4319265,2,6
1,2015,2,3,2,6,39.6,3,2,1,2,1937,3,240,150,2,3000,0,3,219.3711787,6,5
1,2017,4,1,2,4,105.6,3,2,1,1,1950,4,28,200,3,61500,4000,3,360.7739991,6,7
1,2017,4,1,2,3,59.4,3,2,1,2,1932,2,250,250,2,103000,3000,4,326.4698815,3,7
1,2018,2,3,2,8,19.8,3,2,2,1,1944,2,40,70,1,250,0,2,411.0742945,2,6
1,2018,2,3,2,9,33,3,2,1,1,1948,1,75,30,2,300,0,1,361.5817991,1,6
1,2018,6,1,2,6,42.9,2,2,1,2,1948,2,80,200,2,15500,0,2,300.7903219,2,3
1,2018,9,4,2,5,6.6,3,2,2,1,1946,1,134,130,4,500,0,2,165.7988989,6,5
1,2019,6,2,2,5,82.5,2,2,1,1,1942,2,92,120,2,26200,0,2,254.6977177,6,5
1,2020,2,3,2,4,13.2,3,2,1,1,1939,1,30,50,2,2000,0,2,397.739979,6,7
1,2020,5,1,2,8,41.3,2,3,1,1,1944,2,100,100,2,25100,0,2,176.3300933,3,6
1,1994,2,1,2,7,52.8,3,2,1,2,1941,3,400,250,2,47300,0,2,323.4475977,3,4
1,2000,9,4,2,8,5.6,3,2,2,2,1948,1,70,70,4,100,500,2,278.7473988,1,2
1,2010,4,2,2,6,33,3,2,2,1,1941,1,89,89,1,3050,0,1,409.1144016,2,5
1,2010,4,3,2,7,59.4,3,2,2,2,1942,2,90,80,3,3500,0,2,376.732045,1,8
1,2010,4,7,2,7,38,3,2,2,2,1952,1,80,80,3,0,0,2,935.8110147,6,10
1,2012,2,3,2,8,16.5,3,2,2,2,1947,1,70,70,4,1000,0,1,384.9314077,1,5
1,2013,1,2,2,9,39.6,3,2,1,1,1942,1,60,60,1,9700,0,1,176.6431901,6,2
1,2013,2,1,2,4,66,3,2,1,2,1947,2,510,180,2,9999999,35000,3,372.6789914,8,4
1,2015,2,3,2,6,42.9,1,2,1,2,1927,1,50,50,1,300,0,1,384.9314077,1,8
1,2016,6,2,2,7,66,3,2,2,1,1942,2,400,100,3,19600,2000,4,195.5260854,2,6
1,2017,5,2,2,8,39.6,2,2,2,1,1952,1,64,50,2,7200,7000,1,224.1095672,6,7
1,1992,5,1,2,8,56.1,2,2,1,1,1940,2,110,100,3,53000,2000,2,123.0590064,6,5
1,2000,2,1,2,8,59.4,3,2,1,1,1945,2,290,250,2,44300,0,3,372.6789914,7,8
1,2000,4,1,2,7,69.3,3,2,1,2,1944,2,80,80,3,69300,0,2,426.9304856,3,2
1,2008,5,2,2,8,39.6,2,2,1,1,1945,2,86,100,2,5400,0,1,139.8478632,6,5
1,2008,6,1,2,5,42.9,3,2,1,2,1945,2,224,300,2,60000,4000,4,231.1873686,6,4
1,2010,2,2,2,7,92.4,3,1,1,1,1938,1,39,50,1,17000,0,3,369.3764025,6,7
1,2013,1,3,2,8,42.9,3,3,1,1,1953,1,150,80,1,2500,0,1,260.4105168,6,5
1,2014,2,2,2,8,19.8,1,2,2,2,1944,1,30,30,2,1000,0,1,369.3764025,5,6
1,2015,2,3,2,6,33,1,2,1,1,1952,1,50,50,2,1500,0,2,479.0956016,5,6
1,2016,9,4,2,8,5,3,2,1,2,1953,1,120,70,1,0,0,3,369.3400858,1,2
1,2017,6,1,2,2,55.4,4,2,1,2,1949,2,85,100,2,26300,0,2,300.7903219,3,6
1,2017,6,3,2,2,62.7,3,2,2,1,1941,1,60,55,4,1500,0,1,331.6989464,7,6
1,2019,6,3,2,8,49.5,3,2,1,1,1955,2,100,100,1,2000,0,1,337.8820597,6,5
1,1998,4,2,2,6,33,3,2,1,1,1943,2,72,60,1,2500,0,1,338.2640376,6,10
1,2000,3,2,2,8,115.5,3,2,1,1,1952,3,387,300,2,15500,0,3,329.9043652,3,6
1,2007,6,1,2,8,56.1,3,2,1,1,1947,2,170,100,1,23000,0,2,300.7903219,2,4
1,2010,3,3,2,9,33,2,2,1,1,1946,1,180,120,3,2500,0,3,361.5817991,1,2
1,2016,6,1,2,2,56.1,3,2,1,2,1947,3,246,200,2,35300,0,3,269.7421256,3,5
1,2018,2,2,2,7,33,3,3,1,1,1944,2,177,100,2,8100,8000,1,305.4078586,5,7
1,2020,2,3,2,9,26.4,3,2,2,1,1951,1,33,35,1,300,0,2,397.739979,1,6
1,2020,4,2,1,6,115.5,3,1,1,2,1949,2,196,100,3,95000,0,2,338.2640376,3,8
1,1978,1,1,2,8,82.5,2,2,1,1,1948,3,100,150,3,9999999,0,3,133.1883794,4,8
