주택유형,점유형태,주택나이,이사계획,공공임대주택입주의향,월평균가구소득,생활비,총자산,총부채,최종학력,주거지원1,주거지원2
2,2,8,2,1,180,100,6500,0,1,2,3
2,3,7,2,1,70,70,9000,0,2,6,5
2,1,8,2,2,60,60,40000,0,1,4,3
6,1,8,2,1,248,230,23000,0,1,6,5
6,3,7,2,1,120,120,13000,13000,1,2,10
4,1,5,2,2,120,160,85000,0,1,2,6
6,3,6,2,2,55,50,500,0,1,2,1
6,3,8,2,1,180,80,1000,0,1,6,7
2,2,8,1,2,100,100,14000,0,2,2,3
2,3,8,2,1,80,60,2000,0,3,2,3
1,1,8,2,2,30,80,9999999,0,2,4,6
6,1,5,2,1,280,250,21500,0,2,6,5
6,1,5,2,1,89,100,9999999,0,2,3,6
2,3,6,2,1,70,150,7000,0,2,6,5
4,7,7,2,1,9999999,200,0,0,1,6,10
6,1,5,3,2,170,100,68000,0,3,4,3
2,2,7,2,1,530,250,18000,0,5,6,5
2,3,8,2,1,250,150,1000,0,2,6,5
6,3,8,2,1,72,72,6500,6200,2,1,5
4,2,3,2,1,105,100,9999999,2000,3,7,6
4,1,5,2,1,150,150,62000,0,4,2,4
4,1,5,3,1,65,65,54000,0,4,5,6
6,1,7,2,1,100,85,16200,0,2,3,7
6,1,5,2,2,274,140,28000,2000,1,3,2
4,2,4,2,1,540,300,27000,0,3,3,7
4,2,7,2,2,60,55,5000,0,1,1,4
6,2,7,1,2,72,70,4700,0,1,2,8
2,7,6,2,1,130,100,1000,0,2,5,7
6,7,7,2,1,150,30,30000,0,3,6,7
3,1,8,2,1,60,50,27500,0,2,1,2
1,4,8,2,1,197,197,6000,0,1,2,1
4,2,7,2,1,70,70,4200,0,1,8,1
4,3,6,2,1,50,50,300,0,3,1,2
5,1,7,2,2,500,300,40000,0,4,4,3
6,1,2,2,1,50,50,20000,0,1,7,5
2,3,7,2,1,60,60,6500,0,2,5,7
2,3,9,2,1,29,29,5000,0,1,1,2
10,3,9,1,1,80,80,300,0,1,1,6
6,1,8,2,2,180,180,50000,0,2,2,7
2,3,8,2,2,375,200,1000,0,1,5,6
6,1,5,2,2,310,200,9999999,1000,2,3,4
4,2,3,2,1,103,90,6300,0,3,5,6
5,1,3,2,1,210,150,10000,4000,3,7,6
2,3,8,3,1,360,300,1000,0,3,1,2
5,1,8,2,2,90,70,30000,0,2,4,3
6,1,3,2,2,100,100,38000,20000,1,4,3
2,1,3,2,2,250,160,82900,10000,2,3,4
2,2,7,2,1,30,20,10000,0,1,6,5
9,4,8,2,1,80,30,0,0,1,1,2
2,3,8,2,1,48,48,5000,0,2,2,3
2,2,6,1,1,90,150,17500,0,1,2,3
1,1,8,2,2,248,200,35000,0,2,4,8
2,1,7,2,2,420,250,62000,0,2,3,4
4,1,6,2,2,320,260,75000,0,2,3,4
4,2,6,2,1,200,120,5000,0,3,6,10
4,1,2,2,2,300,260,99500,0,3,3,4
2,2,6,2,1,180,100,5000,0,1,6,5
4,1,5,2,2,320,250,68500,0,2,3,4
9,4,8,1,1,80,80,0,0,1,1,2
2,1,8,2,2,125,80,9999999,10000,1,4,8
1,1,8,2,2,130,130,50000,0,2,6,7
2,1,7,2,2,320,230,85000,0,2,3,4
2,1,7,2,2,170,150,53200,0,2,3,4
5,1,5,2,1,320,200,40000,0,3,3,7
2,1,8,2,2,260,200,41200,0,1,4,3
3,2,7,2,1,470,200,21000,0,2,2,3
4,1,4,2,2,250,170,56000,0,3,3,2
3,2,3,2,2,60,130,7000,0,2,3,8
6,2,3,2,1,90,90,8000,0,2,2,6
6,1,8,3,2,100,100,18000,5000,2,3,6
4,3,4,2,1,100,80,2300,1100,1,5,6
2,3,8,2,1,600,200,7500,0,2,2,6
2,3,6,2,2,240,150,3000,0,3,6,5
4,1,4,2,1,28,200,61500,4000,3,6,7
4,1,3,2,2,250,250,103000,3000,4,3,7
2,3,8,2,1,40,70,250,0,2,2,6
2,3,9,2,1,75,30,300,0,1,1,6
6,1,6,2,2,80,200,15500,0,2,2,3
9,4,5,2,1,134,130,500,0,2,6,5
6,2,5,2,1,92,120,26200,0,2,6,5
2,3,4,2,1,30,50,2000,0,2,6,7
5,1,8,3,1,100,100,25100,0,2,3,6
2,1,7,2,2,400,250,47300,0,2,3,4
9,4,8,2,2,70,70,100,500,2,1,2
4,2,6,2,1,89,89,3050,0,1,2,5
4,3,7,2,2,90,80,3500,0,2,1,8
4,7,7,2,2,80,80,0,0,2,6,10
2,3,8,2,2,70,70,1000,0,1,1,5
1,2,9,2,1,60,60,9700,0,1,6,2
2,1,4,2,2,510,180,9999999,35000,3,8,4
2,3,6,2,2,50,50,300,0,1,1,8
6,2,7,2,1,400,100,19600,2000,4,2,6
5,2,8,2,1,64,50,7200,7000,1,6,7
5,1,8,2,1,110,100,53000,2000,2,6,5
2,1,8,2,1,290,250,44300,0,3,7,8
4,1,7,2,2,80,80,69300,0,2,3,2
5,2,8,2,1,86,100,5400,0,1,6,5
6,1,5,2,2,224,300,60000,4000,4,6,4
2,2,7,1,1,39,50,17000,0,3,6,7
1,3,8,3,1,150,80,2500,0,1,6,5
2,2,8,2,2,30,30,1000,0,1,5,6
2,3,6,2,1,50,50,1500,0,2,5,6
9,4,8,2,2,120,70,0,0,3,1,2
6,1,2,2,2,85,100,26300,0,2,3,6
6,3,2,2,1,60,55,1500,0,1,7,6
6,3,8,2,1,100,100,2000,0,1,6,5
4,2,6,2,1,72,60,2500,0,1,6,10
3,2,8,2,1,387,300,15500,0,3,3,6
6,1,8,2,1,170,100,23000,0,2,2,4
3,3,9,2,1,180,120,2500,0,3,1,2
6,1,2,2,2,246,200,35300,0,3,3,5
2,2,7,3,1,177,100,8100,8000,1,5,7
2,3,9,2,1,33,35,300,0,2,1,6
4,2,6,1,2,196,100,95000,0,2,3,8
1,1,8,2,1,100,150,9999999,0,3,4,8
1,3,8,2,2,30,50,200,0,1,6,5
6,1,6,2,2,200,200,30200,3400,3,4,3
9,4,8,2,2,150,80,0,0,3,1,2
5,1,3,2,2,250,200,38000,0,2,3,4
9,4,8,2,1,80,40,0,2000,1,1,6
9,4,8,2,1,70,70,500,0,4,1,6
1,1,8,2,2,250,200,43500,0,1,3,2
4,1,8,2,2,300,250,89500,0,2,3,2
1,1,9,3,2,83,80,20000,0,3,8,4
2,3,7,1,2,170,110,2500,0,2,2,6
5,1,8,2,1,770,500,10400,0,3,7,5
4,1,5,2,2,158,150,73500,0,3,2,3
2,3,8,2,1,125,100,2100,0,2,3,2
5,1,3,2,2,300,200,45000,0,3,3,2
4,2,3,2,1,190,150,9999999,0,1,6,7
2,3,3,2,1,120,100,1500,0,2,2,1
2,3,7,3,1,104,100,1500,100,1,1,2
6,2,6,2,2,80,70,6000,0,1,1,8
2,3,8,2,1,110,70,550,0,2,2,7
2,2,6,2,1,60,50,5200,0,1,6,7
6,1,4,2,2,62,60,25500,5000,1,3,2
6,3,7,2,1,60,60,250,0,1,6,10
1,2,8,3,2,9999999,150,9999999,0,1,2,3
2,1,3,2,2,530,250,94500,19000,2,3,4
9,4,8,2,1,80,20,0,3000,2,1,6
2,3,5,2,1,190,170,2000,0,2,5,6
2,2,9,3,1,9999999,150,9999999,0,2,2,3
2,3,6,3,1,57,70,500,0,1,2,6
4,1,6,2,2,180,160,73000,0,3,3,4
1,2,8,3,1,69,60,8000,8000,1,1,6
6,1,8,2,1,385,250,16500,1100,2,6,7
6,1,5,2,1,100,100,9999999,0,2,6,3
4,2,3,2,1,160,100,12200,0,1,6,7
4,3,4,2,1,60,60,7000,700,3,5,6
6,1,5,2,1,188,120,22500,500,2,6,5
6,2,3,2,1,100,70,7550,7000,1,1,2
6,3,7,2,1,50,50,500,0,1,2,1
2,2,8,2,1,280,130,1500,0,1,5,6
9,4,8,2,1,150,50,0,0,2,1,2
2,3,4,2,1,230,120,500,0,3,6,5
1,7,9,2,1,225,110,7000,0,1,6,7
4,3,4,2,1,60,80,2100,1500,5,2,6
2,1,7,2,2,40,120,9999999,0,2,4,6
4,2,6,2,1,200,100,3600,0,2,6,5
1,1,8,3,2,840,250,103500,2500,3,4,3
4,1,5,2,2,325,200,77500,0,3,3,2
4,1,5,2,2,400,300,72000,0,2,3,2
5,1,5,2,2,500,250,56000,0,4,2,3
6,1,5,2,1,84,84,21900,6000,1,6,7
6,1,5,2,2,590,350,26900,0,3,3,4
4,1,4,2,2,200,200,81000,0,3,3,8
4,1,7,2,1,255,180,44500,0,2,4,8
2,3,7,2,1,48,80,450,0,3,5,6
9,4,9,3,2,9999999,9999999,9999999,8000,3,1,6
9,4,8,2,1,100,80,0,0,2,1,2
4,3,4,2,1,98,100,6000,0,4,5,6
5,1,4,2,1,300,150,34000,0,3,5,6
6,1,6,2,1,150,120,12000,5500,2,6,5
2,3,6,2,1,140,100,300,0,3,1,6
3,3,9,2,1,180,160,600,0,3,2,1
9,4,6,2,1,60,55,0,0,1,7,2
2,3,7,2,1,45,40,3700,0,1,1,2
5,1,2,3,2,90,50,64500,0,2,3,2
10,7,8,3,1,220,190,450,0,3,8,6
1,1,8,2,2,200,160,80000,0,3,4,8
2,2,9,3,1,42,30,2500,0,1,6,2
4,2,3,2,1,52,52,5500,0,2,2,5
4,3,4,2,1,65,100,2000,0,1,6,10
2,3,7,2,1,98,100,5000,0,2,2,6
2,2,8,2,1,67,65,9000,8550,3,2,6
2,3,8,2,1,60,60,1500,0,2,3,2
4,3,8,1,1,120,100,1000,0,4,2,3
5,1,8,3,1,155,150,9999999,7000,2,5,6
1,1,8,2,1,400,400,30000,2000,3,3,4
4,3,7,2,1,97,50,700,0,3,1,6
6,1,5,2,2,500,350,105000,70000,4,7,3
2,2,7,2,1,250,200,3000,0,2,7,6
5,1,3,2,2,350,200,20000,0,4,3,7
11,2,8,2,1,200,150,11800,0,3,2,5
2,3,7,2,1,30,50,400,0,1,6,5
2,1,7,2,1,300,100,35000,0,3,6,7
6,1,3,2,1,310,240,16700,2000,3,3,6
6,2,6,2,1,400,200,10000,0,1,5,6
4,1,2,2,2,800,300,95500,10000,3,3,2
1,3,8,2,1,60,50,3000,0,2,1,2
6,2,4,3,1,300,200,9999999,8000,4,2,3
2,3,6,2,1,190,190,3000,0,2,5,6
5,1,3,2,2,230,150,38000,0,2,3,5
5,2,8,2,1,180,130,7000,4500,2,5,6
9,4,5,2,1,60,50,0,1000,2,1,2
9,4,9,1,1,120,100,0,0,1,2,6
2,2,2,2,1,330,150,13600,0,3,2,6
5,1,1,2,1,210,150,20000,0,3,5,6
2,4,7,3,1,44,44,0,0,2,1,6
6,1,7,2,1,260,180,16500,0,2,3,6
6,2,3,1,1,30,50,22000,0,3,6,7
9,4,7,3,1,60,60,0,0,3,2,6
1,1,8,2,1,79,80,30000,0,1,4,6
5,1,8,2,1,200,100,15500,6000,1,3,7
2,1,8,1,1,200,150,3600,0,1,3,2
2,1,8,2,2,199,100,75000,27000,1,4,3
4,2,7,2,1,150,130,5300,0,2,1,8
4,1,6,2,2,280,220,58000,0,3,3,4
4,1,5,2,2,220,150,77700,0,4,3,2
6,1,5,2,2,150,120,32000,0,1,4,8
2,1,8,1,2,150,100,31700,0,3,2,3
6,1,5,2,1,360,200,38000,0,2,3,5
1,2,7,2,2,300,250,17000,0,3,7,3
2,3,8,1,2,350,200,3500,0,3,3,4
4,1,4,2,1,100,100,68800,0,3,3,6
4,1,5,2,1,279,190,150900,5120,3,4,3
4,1,6,2,2,530,300,66000,0,2,4,3
2,3,8,2,1,52,50,1500,0,3,1,6
2,3,6,2,2,150,90,500,0,2,2,1
9,4,8,2,1,70,30,0,0,2,1,2
4,1,5,2,2,250,220,66000,0,3,3,4
2,1,7,2,2,650,300,45000,0,4,2,3
1,3,9,2,1,190,80,1350,0,2,2,5
5,1,6,2,2,500,300,20000,0,3,3,2
4,1,7,2,2,100,90,35000,0,3,3,4
4,3,6,2,1,90,90,9999999,0,3,2,7
2,3,3,3,1,225,140,500,0,4,6,10
2,3,8,1,1,570,300,2000,0,3,7,6
2,3,7,3,1,170,120,100,0,2,6,5
4,2,7,2,1,65,60,20000,0,2,6,5
4,2,5,2,1,190,100,5860,0,3,3,4
6,3,5,2,1,240,150,5500,0,3,6,2
6,1,8,2,1,253,150,9999999,0,2,6,5
1,2,5,3,2,9999999,9999999,9999999,3000,3,3,2
6,3,3,2,1,500,250,13000,0,3,6,5
1,3,8,3,1,52,50,100,0,2,1,6
2,2,7,2,1,577,250,15000,0,3,6,5
2,2,4,2,1,230,120,4800,0,3,6,5
4,2,6,2,2,200,200,51000,0,3,6,7
4,2,8,2,2,89,65,21700,0,2,3,10
2,2,7,1,1,300,200,8500,0,2,2,6
2,4,9,2,1,300,150,0,0,3,6,2
6,1,9,1,2,220,150,42000,0,2,2,3
2,3,8,1,1,190,150,500,3000,2,3,2
2,2,7,2,1,330,200,13000,0,3,1,6
6,1,5,2,1,230,200,23300,0,3,3,6
1,1,9,2,2,182,100,25300,0,3,3,4
6,4,7,2,1,150,100,9000,0,3,2,5
2,3,8,3,1,70,40,2000,0,1,6,5
4,3,5,1,1,240,200,2000,0,4,2,10
2,2,7,2,1,600,400,11500,0,3,3,2
2,2,7,2,1,250,150,6500,0,3,2,3
6,1,8,2,2,225,200,41000,0,3,4,3
9,4,8,2,2,100,20,0,1500,2,6,1
2,2,5,1,1,100,100,8000,8000,2,1,3
6,3,2,2,1,220,150,3000,0,1,3,7
5,1,8,2,1,330,250,20500,0,3,3,6
2,3,1,1,1,600,300,3000,3000,2,6,5
2,3,7,2,1,130,100,300,1000,2,7,6
2,3,7,2,1,60,55,800,0,2,6,7
4,1,6,2,2,510,250,62300,0,3,3,4
5,1,7,2,2,230,100,10000,0,2,2,3
2,1,8,2,1,610,400,40300,2000,3,5,6
2,2,7,2,1,50,50,3000,0,1,6,2
6,3,8,2,1,172,150,3300,0,1,2,1
2,3,8,2,2,130,100,250,0,2,1,7
4,3,4,2,1,100,100,2800,0,2,5,6
6,1,5,2,2,390,250,41500,0,3,8,3
1,3,8,2,1,150,100,200,0,2,6,5
4,1,5,2,2,840,300,71000,8000,3,3,4
2,2,8,2,2,350,150,17000,0,3,2,5
2,3,5,3,1,45,45,8500,8000,2,6,10
6,1,2,2,1,254,100,38000,0,4,2,6
9,4,6,2,1,56,55,0,0,3,2,7
5,1,6,2,2,400,200,97000,0,5,3,5
6,1,1,2,2,380,150,25600,8000,3,3,2
4,3,7,2,1,150,120,4300,0,3,5,6
4,3,7,3,1,52,50,500,0,2,6,7
4,3,6,2,1,350,250,2100,9999999,3,1,6
1,1,8,1,2,500,250,47000,0,3,3,4
2,3,9,2,1,30,30,1000,0,1,7,6
4,1,4,2,1,420,250,36500,5000,2,6,5
2,2,6,3,1,172,150,17200,0,2,7,5
2,1,6,2,2,230,200,34600,0,3,2,3
2,3,7,2,1,330,200,1200,0,3,2,6
4,1,6,2,2,478,280,84020,0,3,7,6
4,2,3,2,1,9999999,200,9999999,0,2,7,6
6,2,7,2,1,190,190,6700,0,3,2,6
2,2,9,2,1,9999999,9999999,9999999,0,3,2,3
2,3,8,3,1,350,300,1000,0,2,2,1
6,2,6,2,1,247,200,14000,4000,2,2,6
6,3,3,2,1,60,50,500,0,2,2,6
8,3,6,2,1,225,200,300,1500,2,1,2
2,3,6,3,1,70,60,1800,0,2,1,2
4,1,6,2,2,250,200,125000,0,3,2,3
2,2,8,2,1,300,190,15500,0,3,2,6
4,3,2,2,1,150,130,2500,0,2,1,5
6,2,7,3,1,70,70,8000,2000,2,1,2
6,2,8,2,1,70,60,9000,0,1,1,6
2,1,6,2,2,400,220,73800,13000,3,3,4
1,1,8,1,1,530,300,87000,0,3,7,6
5,2,7,2,1,200,200,5500,0,2,6,5
6,1,9,3,2,760,350,68100,0,3,4,3
4,1,8,2,1,240,140,21200,0,4,7,6
2,2,9,2,1,300,100,14500,0,3,2,4
2,3,5,3,1,250,150,5500,0,3,1,4
9,4,9,2,1,150,120,0,0,2,2,3
6,3,8,2,1,250,250,200,0,1,2,1
2,3,8,2,1,330,150,5000,0,3,2,6
2,3,7,2,1,270,150,6500,0,3,2,6
5,1,3,2,2,650,280,43500,5000,3,3,4
6,1,5,2,1,500,300,9999999,0,3,3,6
3,1,7,2,2,250,150,26000,0,3,3,4
2,2,6,2,1,490,280,28090,0,4,3,2
